category,count,columns,col_width,total,sort,scatter,gather
radix,4194304,5,4,410588570,320549920,74850767,15187883
pdq_static,4194304,5,4,609411372,519774080,74733709,14903583
radix,4194304,5,4,410420200,320396992,74813842,15209366
pdq_static,4194304,5,4,606225154,516695672,74667632,14861850
radix,4194304,6,4,446977394,343426732,87849772,15700890
pdq_static,4194304,6,4,644291840,541138520,87770017,15383303
radix,4194304,6,4,447065240,343570504,87734157,15760579
pdq_static,4194304,6,4,643266654,540097236,87696410,15473008
radix,4194304,6,4,446928181,343530411,87698530,15699240
pdq_static,4194304,6,4,647040313,543977228,87697861,15365224
radix,4194304,6,4,446669699,343126295,87781921,15761483
pdq_static,4194304,6,4,648396465,545350568,87721712,15324185
radix,4194304,6,4,447025947,343430996,87778218,15816733
pdq_static,4194304,6,4,642224932,539030832,87711033,15483067
radix,4194304,7,4,480407920,360775718,103338895,16293307
pdq_static,4194304,7,4,644943041,525741099,103268418,15933524
radix,4194304,7,4,480536291,360820754,103380418,16335119
pdq_static,4194304,7,4,647793177,528468005,103319731,16005441
radix,4194304,7,4,481434063,361277063,103615277,16541723
pdq_static,4194304,7,4,652797014,533285108,103472624,16039282
radix,4194304,7,4,480223671,360623418,103348265,16251988
pdq_static,4194304,7,4,647439593,528190032,103349666,15899895
radix,4194304,7,4,480330686,360584100,103361710,16384876
pdq_static,4194304,7,4,647678143,528237994,103462246,15977903
radix,16777216,1,4,848562583,699984958,98404895,50172730
pdq_static,16777216,1,4,1208002992,1059783509,98170745,50048738
radix,16777216,1,4,847677774,699103086,98424580,50150108
pdq_static,16777216,1,4,1207661622,1059232724,98330029,50098869
radix,16777216,1,4,847855870,699364303,98332265,50159302
pdq_static,16777216,1,4,1207556174,1059310441,98173933,50071800
radix,16777216,1,4,847479284,698846214,98472361,50160709
pdq_static,16777216,1,4,1211664036,1063452024,98173689,50038323
radix,16777216,1,4,846132238,697368120,98614072,50150046
pdq_static,16777216,1,4,1209046023,1060915382,98067133,50063508
radix,16777216,2,4,1163856350,958349609,149816494,55690247
pdq_static,16777216,2,4,1355627629,1150376259,149678555,55572815
radix,16777216,2,4,1163178787,957848953,149672290,55657544
pdq_static,16777216,2,4,1354390179,1149683409,149141849,55564921
radix,16777216,2,4,1162568268,958629149,148293664,55645455
pdq_static,16777216,2,4,1357104055,1152290791,149257962,55555302
radix,16777216,2,4,1160754948,957087144,148008836,55658968
pdq_static,16777216,2,4,1351154553,1146125298,149476841,55552414
radix,16777216,2,4,1162593012,957752173,149187919,55652920
pdq_static,16777216,2,4,1356452431,1151718619,149210090,55523722
radix,16777216,3,4,1274349848,1020975387,196111457,57263004
pdq_static,16777216,3,4,1424885896,1171585913,196306410,56993573
radix,16777216,3,4,1274082881,1020822478,196038646,57221757
pdq_static,16777216,3,4,1426281032,1172859409,196404672,57016951
radix,16777216,3,4,1274444630,1021150032,195924930,57369668
pdq_static,16777216,3,4,1425740422,1172248304,196235134,57256984
radix,16777216,3,4,1275060759,1021659502,196032046,57369211
pdq_static,16777216,3,4,1431448540,1177756069,196606857,57085614
radix,16777216,3,4,1273237208,1019749235,196083574,57404399
pdq_static,16777216,3,4,1418820778,1165288425,196528302,57004051
radix,16777216,4,4,1467743902,1159696070,248761954,59285878
pdq_static,16777216,4,4,1578297508,1270087605,249252654,58957249
radix,16777216,4,4,1466856223,1158926269,248692875,59237079
pdq_static,16777216,4,4,1567365151,1259524955,249411583,58428613
radix,16777216,4,4,1465548616,1157760550,248765536,59022530
pdq_static,16777216,4,4,1576299089,1267805718,249455111,59038260
radix,16777216,4,4,1467083536,1159522899,248788464,58772173
pdq_static,16777216,4,4,1570299481,1262460633,249322389,58516459
radix,16777216,4,4,1467970380,1159733241,248982377,59254762
pdq_static,16777216,4,4,1578964269,1271028224,249269658,58666387
radix,16777216,5,4,1624531257,1266493409,297138316,60899532
pdq_static,16777216,5,4,2597175486,2239163631,296885159,61126696
