sim,category,count,columns,L2_TLB_MISS_DATA,L1D_CACHE_MISS_LD,L1D_CACHE_MISS_ST,L1D_TLB_MISS
reorder,col,23,64,5260496,2274880647,1730557142,2013842630
reorder,col,23,64,7512677,2275930850,1731950705,2020504128
reorder,col,23,96,8839145,3408552143,2551019950,3016836459
reorder,col,23,96,4268971,3409055257,2567265994,3005148918
reorder,col,23,96,7887560,3408695421,2570151675,3014271561
reorder,col,23,96,8140712,3409053760,2569597030,3016726660
reorder,col,23,96,10835029,3408683025,2556963484,3024258058
reorder,col,24,1,9423922,90562931,78489563,125669204
reorder,col,24,1,9294921,90587933,78662892,125386989
reorder,col,24,1,9584592,90558492,78662395,126078258
reorder,col,24,1,9467311,90600714,78668661,125667309
reorder,col,24,1,9097202,90571199,78514844,124960470
reorder,col,24,2,14085537,161738425,131909557,210726657
reorder,col,24,2,14137700,161773658,131975623,210881425
reorder,col,24,2,14530852,161811931,131983539,211761173
reorder,col,24,2,14113282,161689614,131875011,211269290
reorder,col,24,2,14620220,161811932,132038589,212336632
reorder,col,24,4,23648848,304043317,238975326,382507761
reorder,col,24,4,24328814,304037678,238748960,383161040
reorder,col,24,4,23702201,303978878,238741216,381662351
reorder,col,24,4,24452870,304082278,238655922,383328082
reorder,col,24,4,24261321,304119351,238769434,382911078
reorder,col,24,8,44023811,588894588,452156782,726119793
reorder,col,24,8,42837792,588632530,451807109,723105308
reorder,col,24,8,43477037,588779185,452754777,724337186
reorder,col,24,8,44040715,588791820,452814864,725744521
reorder,col,24,8,43100138,588815568,452741121,723542584
reorder,col,24,16,84720486,1158253918,879766752,1414771381
