category,count,columns,time,L2_TLB_MISS_DATA,L1D_CACHE_MISS_LD,L1D_CACHE_MISS_ST,L1D_TLB_MISS,BRANCH_COND_MISPRED_NONSPEC
row,4194304,64,2490875583,216,18160,32007,5280,6
row,4194304,64,2490975666,217,18001,31439,5525,4
row,4194304,64,2491075541,196,17109,27684,4888,4
row,4194304,64,2491175375,179,17126,27357,4672,4
row,4194304,64,2491275500,212,17123,29083,4999,6
row,4194304,64,2491375541,184,17525,28190,4665,4
row,4194304,64,2491475500,184,16536,27529,4520,4
row,4194304,64,2491575625,202,16978,28866,4938,4
row,4194304,64,2491675583,179,17540,27705,4388,4
row,4194304,64,2491775458,221,17703,28922,5885,4
row,4194304,64,2491875583,179,17286,26740,5012,4
row,4194304,64,2491975666,209,17853,31075,5136,6
row,4194304,64,2492075500,208,18164,28819,5426,4
row,4194304,64,2492175500,178,15021,25826,4237,4
row,4194304,64,2492275500,195,17231,28795,4840,4
row,4194304,64,2492375791,194,18081,29823,4970,6
row,4194304,64,2492475416,211,16665,29457,5014,4
row,4194304,64,2492575500,195,15703,25760,4703,4
