category,count,columns,cmd,pid,time,counter,event,ptr,fun,lib
row_all,16777216,3,simulation,6104,11651528.107840:,62969,branch-misses:,40845f,FillColumns<unsigned,int>+0x26f,(/experiments/sorting_simulation/simulation)
row_all,16777216,3,simulation,6104,11651528.117839:,62998,branch-misses:,7f0b17a589bc,random+0x3c,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651528.127835:,63010,branch-misses:,ffffffff8d24317b,__pagevec_lru_add_fn+0x2b,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651528.132477:,8528,cache-misses:,ffffffff8d239bd6,get_page_from_freelist+0x8f6,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651528.137849:,62973,branch-misses:,7f0b17a589d4,random+0x54,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651528.142680:,8299,cache-misses:,ffffffff8d23bca1,__alloc_pages_nodemask+0x171,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651528.147831:,63077,branch-misses:,402070,rand@plt+0x0,(/experiments/sorting_simulation/simulation)
row_all,16777216,3,simulation,6104,11651528.152932:,8200,cache-misses:,ffffffff8d239ae3,get_page_from_freelist+0x803,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651528.157782:,63218,branch-misses:,7f0b17a589e9,random+0x69,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651528.162935:,8226,cache-misses:,ffffffff8d23bca1,__alloc_pages_nodemask+0x171,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651528.167742:,63353,branch-misses:,7f0b17a589e2,random+0x62,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651528.173048:,8098,cache-misses:,ffffffff8d23aa98,get_page_from_freelist+0x17b8,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651528.177724:,63457,branch-misses:,7f0b17a589d4,random+0x54,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651528.183037:,8141,cache-misses:,ffffffff8d236177,bad_range+0x77,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651528.187729:,63518,branch-misses:,ffffffff8d239b0c,get_page_from_freelist+0x82c,([kernel.kallsyms])
